epoch,train_loss,val_psnr,val_ssim
1,0.251442,15.0361,0.509217
2,0.118513,19.549,0.597775
3,0.088352,20.2867,0.612095
4,0.07805,20.8073,0.604337
5,0.067621,21.8429,0.623296
6,0.06997,22.3465,0.630947
7,0.060688,22.9562,0.636668
8,0.052431,23.0763,0.642398
9,0.055842,23.3023,0.643949
10,0.051131,23.526,0.649448
11,0.047121,23.5886,0.650297
12,0.047856,23.7901,0.653608
13,0.051982,23.8117,0.656696
14,0.043871,23.9228,0.656995
15,0.047604,24.0001,0.657581
16,0.046128,24.0174,0.659843
17,0.046467,24.1199,0.660794
18,0.046588,24.2075,0.662333
19,0.043031,24.2723,0.664536
20,0.047551,24.3342,0.665899
21,0.04388,24.3518,0.666858
22,0.040686,24.295,0.666321
23,0.046831,23.9903,0.669221
24,0.048967,24.2922,0.668576
25,0.041792,24.3477,0.67021
26,0.044104,24.4189,0.671259
27,0.043156,24.4815,0.669785
28,0.044577,24.3698,0.671304
29,0.042433,24.3842,0.670687
30,0.04616,24.5027,0.671058
31,0.045829,24.5199,0.673115
32,0.041377,24.4407,0.673535
33,0.042634,24.4581,0.674308
34,0.044093,24.5417,0.673979
35,0.040162,24.3303,0.674885
36,0.046034,24.495,0.675404
37,0.046716,24.4025,0.675422
38,0.04246,24.6084,0.675766
39,0.045402,24.5913,0.674106
40,0.041522,24.6456,0.675003
41,0.037573,24.6446,0.674714
42,0.040522,24.638,0.676113
43,0.040713,24.6865,0.676628
44,0.040786,24.6906,0.676379
45,0.043095,24.7457,0.677288
46,0.044427,24.6676,0.677197
47,0.041179,24.6422,0.676534
48,0.041956,24.7435,0.677112
49,0.0393,24.6758,0.677758
50,0.038694,24.7553,0.677944
