epoch,train_loss,val_psnr,val_ssim
1,0.257139,15.1858,0.354561
2,0.144217,17.0264,0.400706
3,0.113222,17.2729,0.417379
4,0.105237,19.1103,0.420418
5,0.090672,19.6658,0.423831
6,0.082929,19.8801,0.432319
7,0.079195,20.0979,0.436049
8,0.075289,20.3409,0.44274
9,0.075515,20.473,0.446322
10,0.073908,20.5461,0.451705
11,0.072801,20.5668,0.455451
12,0.074604,20.744,0.459601
13,0.075935,20.8442,0.462988
14,0.069114,20.8932,0.466789
15,0.069273,20.9828,0.470578
16,0.073524,21.027,0.474573
17,0.066867,21.1066,0.480002
18,0.071189,21.179,0.484947
19,0.070716,21.0744,0.49093
20,0.066223,21.2311,0.49232
21,0.063913,21.1658,0.494621
22,0.070701,21.1981,0.49493
23,0.066746,21.3237,0.49722
24,0.066697,21.2743,0.500849
25,0.06696,21.229,0.502461
26,0.064908,21.3798,0.50552
27,0.065261,21.4238,0.506855
28,0.072455,20.9853,0.508251
29,0.068914,21.3082,0.509951
30,0.061204,21.4545,0.510946
31,0.065407,21.4615,0.51193
32,0.063078,21.4586,0.513283
33,0.065362,21.4189,0.514385
34,0.063638,21.4578,0.515452
35,0.063439,21.4913,0.516387
36,0.068609,21.2955,0.515972
37,0.064204,21.5408,0.517421
38,0.063155,21.5459,0.518351
39,0.061148,21.4114,0.518487
40,0.065911,21.2498,0.517796
41,0.064637,21.5566,0.519049
42,0.063595,21.4446,0.51974
43,0.064712,21.5251,0.521115
44,0.06667,21.5599,0.521631
45,0.066838,21.5569,0.522163
46,0.067364,21.6073,0.521887
47,0.06059,21.6182,0.522641
48,0.060254,21.5628,0.523878
49,0.062237,21.5759,0.524027
50,0.059905,21.6135,0.524436
