epoch,train_loss,val_psnr,val_ssim
1,0.350313,8.7475,0.072259
2,0.264215,10.1953,0.196909
3,0.265012,10.8109,0.165961
4,0.242609,11.1414,0.118879
5,0.233628,11.1212,0.059285
6,0.206342,12.3292,0.069383
7,0.181951,13.5802,0.096138
8,0.157938,14.726,0.133421
9,0.14434,15.4054,0.099105
10,0.134787,15.9448,0.117375
11,0.123056,17.2486,0.172891
12,0.117024,17.8583,0.181443
13,0.109698,17.9097,0.163549
14,0.107726,17.7752,0.152084
15,0.106033,18.3443,0.188154
16,0.1017,17.8657,0.185168
17,0.099171,18.2385,0.196906
18,0.096342,18.9138,0.204856
19,0.092832,18.9248,0.227247
20,0.089401,19.0125,0.227029
21,0.08891,19.8903,0.255609
22,0.086957,19.4715,0.236919
23,0.08237,20.3761,0.285566
24,0.078983,20.1955,0.279024
25,0.081838,19.8072,0.26709
26,0.080599,20.5952,0.318716
27,0.079547,20.4114,0.285098
28,0.075759,20.5383,0.291125
29,0.076604,20.5157,0.298313
30,0.077112,20.539,0.293083
31,0.075522,20.8775,0.324549
32,0.075854,20.5131,0.303201
33,0.070352,20.668,0.311661
34,0.074599,20.349,0.322869
35,0.073908,20.6031,0.318887
36,0.074561,20.7813,0.31927
37,0.07256,20.7511,0.328209
38,0.073262,21.1771,0.3471
39,0.074053,21.0744,0.342946
40,0.071046,20.9232,0.335009
41,0.071593,21.3135,0.361228
42,0.072089,21.4061,0.370653
43,0.075734,21.1592,0.353831
44,0.070871,21.4033,0.36163
45,0.06904,20.9904,0.377178
46,0.069236,21.4427,0.36406
47,0.069855,21.448,0.368678
48,0.071327,21.2997,0.360952
49,0.068613,21.0342,0.379048
50,0.070443,21.2388,0.366337
51,0.068992,21.2993,0.363977
52,0.070286,21.5888,0.392628
53,0.066405,21.3405,0.363799
54,0.069968,21.6611,0.400817
55,0.070618,21.3852,0.383576
56,0.068852,21.6388,0.387956
57,0.065074,21.6398,0.3762
58,0.067695,21.7435,0.392878
59,0.066765,21.5182,0.400592
60,0.067783,21.574,0.380024
61,0.063972,21.4426,0.364348
62,0.067515,21.7115,0.405299
63,0.06971,21.609,0.384642
64,0.063676,21.9088,0.424018
65,0.067226,21.6633,0.398598
66,0.063187,21.6806,0.396636
67,0.067107,21.6185,0.396725
68,0.066679,21.6595,0.383623
69,0.063699,21.727,0.38427
70,0.0683,21.7944,0.410586
71,0.065725,21.5681,0.40493
72,0.066312,21.751,0.405384
73,0.067729,22.0848,0.431216
74,0.066226,21.9557,0.428869
75,0.06438,21.6045,0.403329
76,0.06544,21.9278,0.418428
77,0.064654,21.7867,0.408312
78,0.065907,21.9316,0.423321
79,0.064579,21.7457,0.402784
80,0.06387,21.7736,0.402421
81,0.066359,21.993,0.427108
82,0.066334,21.8437,0.412373
83,0.061996,22.0037,0.42961
84,0.062553,21.8811,0.423638
85,0.066125,21.9035,0.413852
86,0.064004,21.811,0.411672
87,0.066028,21.9466,0.419672
88,0.061899,21.8897,0.423286
89,0.065639,21.6857,0.404537
90,0.066098,21.79,0.413478
91,0.062253,21.8927,0.419094
92,0.064693,22.115,0.443308
93,0.062741,22.0088,0.440856
94,0.064947,21.8641,0.411791
95,0.065981,21.9643,0.427348
96,0.060274,22.0328,0.432417
97,0.059795,21.8742,0.425227
98,0.062978,22.1671,0.443615
99,0.06536,22.0913,0.433993
100,0.063335,22.0123,0.426237
